Name,Address,City,State,Postal Code,Phone
Northeast Children's Dentistry,147 Summit Centre Dr,Columbia,SC,29229,(803) 865-1421
Mays DMD McEntire Ms,140 Summit Centre Dr,Columbia,SC,29229,(803) 217-0066
North Springs Dentistry,126 Professional Park Rd,Columbia,SC,29229,(803) 736-9392
Aspen Dental,10266 Two Notch Rd,Columbia,SC,29229,(803) 814-3354
North Springs Dentistry,2000 Clemson Rd,Columbia,SC,29229,(803) 736-9942
C Thomas Fitts III DMD,4415 Hard Scrabble Rd,Columbia,SC,29229,(803) 788-5377
Wildewood Dental Care,10136 Two Notch Rd,Columbia,SC,29229,(803) 788-0099
Bradford Smith DDS,1120 Sparkleberry Lane Ext,Columbia,SC,29223,(803) 462-3662
Rice Creek Family Dentistry,101 Rice Bent Way,Columbia,SC,29229,(803) 788-2676
Northeast Family Cosmetic & Implant Dentistry,118 N Brickyard Rd,Columbia,SC,29223,(803) 736-1336
E Johnson Karen DDS Mhs,118 N Brickyard Rd,Columbia,SC,29223,(803) 699-7933
Sandhills Dentistry,126 Barton Creek Ct,Columbia,SC,29229,(803) 462-0249
Northeast Columbia Family Dentistry,9610 Two Notch Rd,Columbia,SC,29223,(803) 788-0976
Sandhills Periodontics,9600 Two Notch Rd,Columbia,SC,29223,(803) 788-9715
Jones M Fort DMD,9600 Two Notch Rd,Columbia,SC,29223,(803) 788-3707
Walker Dental Care,225 Longtown Rd,Columbia,SC,29229,(803) 865-9919
Aesthetic Smile Studio,120 Sparkleberry Crossing Rd,Columbia,SC,29229,(803) 957-3005
Koenig Mace T Family Dentistry,100 Pontiac Business Center Dr,Elgin,SC,29045,(803) 865-7871
Donahue James M Drdntst,18 Office Park Ct,Columbia,SC,29223,(803) 788-7300
Johnson Joel,9 Office Park Ct,Columbia,SC,29223,(803) 788-2555
Dr. Richard E. Boyd and Associates,5 Office Park Ct,Columbia,SC,29223,(803) 788-7000
Swick DDS James,9353 Two Notch Rd,Columbia,SC,29223,(803) 788-5360
Northeast Oral & Maxillofacial Surgery Center,9310 Two Notch Rd,Columbia,SC,29223,(803) 699-5900
Keith P Straka DDS,9165 Two Notch Rd,Columbia,SC,29223,(803) 788-2560
Andrew G Gambrell DMD,9020 Farrow Rd,Columbia,SC,29203,(803) 419-5002
Amy Ellis Green DMD,8905 Two Notch Rd,Columbia,SC,29223,(803) 788-9593
James G Moore DDS,700 Rabon Rd,Columbia,SC,29203,(803) 865-0645
Gregg W McKenzie DDS,124 Alpine Cir,Columbia,SC,29223,(803) 262-2292
Downing Paul R DMD PC,121 Alpine Cir,Columbia,SC,29223,(803) 736-9991
Richard M Kline DMD,120 Alpine Cir,Columbia,SC,29223,(803) 699-1560
Philip M Joseph DMD,116 Atrium Way,Columbia,SC,29223,(803) 699-2600
Berger Dental Group,2521 Main St,Elgin,SC,29045,(803) 438-1347
David Anderson DDS,7711 Trenholm Road Ext,Columbia,SC,29223,(803) 865-2602
Carolina Children's Dentistry,7701 Trenholm Road Ext,Columbia,SC,29223,(803) 736-6000
Lisa M Cherry DDS,7701 Trenholm Road Ext,Columbia,SC,29223,(803) 736-1087
Washington Kent W,7621 Trenholm Road Ext,Columbia,SC,29223,(803) 699-9989
Brown Kerry White DDS,224 O'Neil Ct,Columbia,SC,29223,(803) 699-9191
Northeast Dental Associates,7346 Parklane Rd,Columbia,SC,29223,(803) 788-6691
Columbia Oral & Maxillofacial Surgery,611 O'Neil Ct,Columbia,SC,29223,(803) 736-4343
Fred L Sykes DDS,7024 Brookfield Rd,Columbia,SC,29223,(803) 419-1327
Michael R Littlejohn DDS,7020 Brookfield Rd,Columbia,SC,29223,(803) 788-4547
Kim Kyong H,6941 Trenholm Rd,Columbia,SC,29206,(803) 743-9894
Hogan Donald W,7007 Brookfield Rd,Columbia,SC,29223,(803) 788-7424
Charles Flowers DMD,7007 Brookfield Rd,Columbia,SC,29223,(803) 787-6646
Premier Dentistry of Blythewood,213 Main St,Blythewood,SC,29016,(803) 754-9545
Blythewood Dentistry,205 Blythewood Rd,Blythewood,SC,29016,(803) 691-4430
Blythewood Village Dental Associates - Blythewood,745 University Village Dr,Blythewood,SC,29016,(803) 754-9160
Stockton Family & Cosmetic Dentistry,5219 Two Notch Rd,Columbia,SC,29204,(803) 735-9446
Kool Smiles,5422 Forest Dr,Columbia,SC,29206,(803) 753-8061
Berger Dental Group,5251 Forest Dr,Columbia,SC,29206,(803) 787-9793
David M Lovit DMD,5115 Forest Dr,Columbia,SC,29206,(803) 787-4900
Forest Drive Dental Care Pa - Joanna Silver Dover, DMD,5101 Forest Dr,Columbia,SC,29206,(803) 782-8786
Columbia Dental Care,4702 Forest Dr,Columbia,SC,29206,(803) 738-2424
G Alex Jenkins DDS,5107 Trenholm Rd,Columbia,SC,29206,(803) 782-8931
Lockhart W Alison DMD,5107 Trenholm Rd,Columbia,SC,29206,(803) 782-9030
R Sims Tompkins DMD,5250 Clemson Ave,Columbia,SC,29206,(803) 738-9715
H Gene Smith DMD,12 Monckton Blvd,Columbia,SC,29206,(803) 738-9543
360 Dental,6 Monckton Blvd,Columbia,SC,29206,(803) 988-0098
PM Group,6 Monckton Blvd,Columbia,SC,29206,(803) 782-0276
Small Smiles Dental Centers,3000 Two Notch Rd,Columbia,SC,29204,(803) 691-9930
Manly E Hutchinson III DMD,4902 Trenholm Rd,Columbia,SC,29206,(803) 782-3100
Family Dental,2941 Two Notch Rd,Columbia,SC,29204,(803) 251-2260
Todd Barrett DMD,4023 Forest Dr,Columbia,SC,29204,(803) 782-7722
Carolina Restorative & Implant Dentistry,4019 Forest Dr,Columbia,SC,29204,(803) 787-5445
Benjamin F Thomas DMD,5255 N Main St,Columbia,SC,29203,(803) 754-1110
Green Orthodontics,3741 Landmark Dr,Columbia,SC,29204,(803) 787-1601
Carolina Periodontology South,2120 N Beltline Blvd,Columbia,SC,29204,(803) 782-0528
Heath M Stewart DMD,1755 Saint Julian Pl,Columbia,SC,29204,(803) 254-2972
Dr. Jarrett Newsome DMD,1701 Saint Julian Pl,Columbia,SC,29204,(803) 254-2465
Cleveland T Smith DMD,1701 Saint Julian Pl,Columbia,SC,29204,(803) 771-6393
Middleburg Oral Surgery,2724 Middleburg Dr,Columbia,SC,29204,(803) 251-1245
